label,y1,y2,x1,x2,
7,2.0,0.0,1.851246026210821,-2.456607902972947,
3,0.0,2.0,0.27861793910696275,3.342254424094113,
7,2.0,0.0,3.842319953748496,0.5835673625943245,
3,0.0,2.0,-1.156756441905701,1.0940252517896965,
2,0.0,1.0,-2.3551454088205306,0.9265841028902133,
3,0.0,2.0,1.2081045772585726,3.3906678344277257,
2,0.0,1.0,0.5443344123556495,-0.17160251756477596,
9,2.0,2.0,2.392860330873439,1.709291081129113,
3,0.0,2.0,0.413184812206274,2.459223554967928,
6,1.0,2.0,1.37863664576405,4.101369627033058,
8,2.0,1.0,3.513415582494906,0.5527038913816378,
3,0.0,2.0,-0.028096325699623392,1.577311933733449,
3,0.0,2.0,-0.6489196916135951,0.9794012639297855,
9,2.0,2.0,2.7393820949255696,4.570269392093181,
9,2.0,2.0,2.4413534968924266,1.8345157893328052,
7,2.0,0.0,1.4908010957364444,-0.09487322896897687,
3,0.0,2.0,0.39658408782189847,5.36452111251768,
9,2.0,2.0,3.2366967077349464,1.8725239168614767,
3,0.0,2.0,1.3563775166962755,2.0651142330011547,
7,2.0,0.0,1.4371936602958022,2.0600406296243072,
6,1.0,2.0,1.539675300430553,5.428836318714591,
9,2.0,2.0,5.340937071038973,1.9915744775795665,
7,2.0,0.0,2.7697077985504848,-0.48129633896921176,
7,2.0,0.0,5.410830742443368,-1.2175914531673961,
1,0.0,0.0,-0.3954601401612612,0.06065896699904916,
3,0.0,2.0,0.8241699390228585,4.356884624400477,
6,1.0,2.0,2.4285978137214794,3.2623818900885904,
1,0.0,0.0,-0.15050775540055472,0.25049646798233605,
9,2.0,2.0,2.058892027211264,2.5976358372201664,
1,0.0,0.0,0.13601361337182616,-2.889504033820473,
9,2.0,2.0,2.3714326271017163,2.643907937503479,
7,2.0,0.0,3.4978544865345786,1.1998743337120636,
7,2.0,0.0,4.127214634321485,0.6943923076716016,
2,0.0,1.0,-1.0230009826296067,0.9713444241090838,
7,2.0,0.0,0.46519258376931827,0.3468293725734133,
3,0.0,2.0,-1.9531944451715146,1.359646623276556,
6,1.0,2.0,1.5968867246533367,3.891668361974724,
6,1.0,2.0,1.4879720424558847,3.802541160423708,
7,2.0,0.0,3.7554135804222533,0.1572541205483151,
6,1.0,2.0,1.1432770576172588,2.808313044888384,
3,0.0,2.0,-1.2389132885854064,5.14785555288452,
9,2.0,2.0,3.9361796556996635,4.534791002330755,
3,0.0,2.0,-4.799972036891415,1.6072450255048327,
3,0.0,2.0,0.7963992168615905,3.949381477767018,
8,2.0,1.0,3.6987650749597263,1.3231518010209649,
4,1.0,0.0,0.5466032122540905,-0.03077566837708412,
5,1.0,1.0,1.113526165038878,1.1762406119712643,
3,0.0,2.0,0.9030301467242705,1.1229785953810414,
9,2.0,2.0,2.285739943203124,2.241802123308607,
7,2.0,0.0,2.136465471416054,1.3939798027093038,
4,1.0,0.0,0.7684064329634119,-1.0224549310842166,
7,2.0,0.0,1.3438909145312987,-0.6031722945996338,
